"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
2.364376875E0,-2.240905762E-1,2.552685547E1,-4.308425903E1,5.007917674E1
2.374401875E0,-4.119567871E-1,2.542196655E1,-4.318426514E1,5.011314046E1
2.384427875E0,-2.866744995E-1,2.552178955E1,-4.343710327E1,5.038080850E1
2.394454250E0,-2.660369873E-1,2.523623657E1,-4.335690308E1,5.016731462E1
2.404479250E0,-2.480392456E-1,2.540429688E1,-4.320727539E1,5.012293357E1
2.414505250E0,-3.358078003E-1,2.549887085E1,-4.308843994E1,5.006914058E1
2.424531250E0,-5.028839111E-1,2.554983521E1,-4.308810425E1,5.009622440E1
2.434556250E0,-5.853958130E-1,2.551651001E1,-4.305975342E1,5.005574229E1
2.444582250E0,-1.325073242E-1,2.548171997E1,-4.276290894E1,4.977953386E1
2.454608250E0,-3.738250732E-1,2.578158569E1,-4.300747681E1,5.014452081E1
2.464633250E0,-4.238967896E-1,2.584481812E1,-4.316217041E1,5.031011098E1
2.474659250E0,-3.727951050E-1,2.562774658E1,-4.303601074E1,5.009010473E1
2.484685250E0,-3.063583374E-1,2.527838135E1,-4.305194092E1,4.992554492E1
2.494710250E0,-3.601074219E-3,2.535351562E1,-4.284741211E1,4.978655935E1
2.504736250E0,-1.318130493E-1,2.552865601E1,-4.313079834E1,5.011981063E1
2.514762250E0,-3.636550903E-1,2.555889893E1,-4.318829346E1,5.018583716E1
2.524787250E0,-3.658294678E-1,2.541448975E1,-4.297680664E1,4.993031173E1
2.534813250E0,-2.825546265E-1,2.551837158E1,-4.292773438E1,4.994053968E1
2.544839250E0,-2.124481201E-1,2.527316284E1,-4.285958862E1,4.975663002E1
2.554865250E0,-8.959197998E-2,2.526126099E1,-4.283929443E1,4.973273048E1
2.564890250E0,-3.437881470E-1,2.550692749E1,-4.318002319E1,5.015212800E1
2.574916250E0,-7.698822021E-2,2.546612549E1,-4.304431152E1,5.001342049E1
2.584942250E0,-1.358337402E-1,2.540441895E1,-4.314096069E1,5.006541164E1
2.594967250E0,5.289459229E-2,2.569018555E1,-4.281692505E1,4.993272977E1
2.604993250E0,-3.268356323E-1,2.567678833E1,-4.277041626E1,4.988700019E1
2.615019250E0,1.992416382E-1,2.540332031E1,-4.247747803E1,4.949448979E1
2.625044250E0,-2.638397217E-1,2.541540527E1,-4.285913086E1,4.982888253E1
2.635070250E0,-1.226501465E-1,2.528747559E1,-4.301239014E1,4.989526200E1
2.645096250E0,-2.495269775E-1,2.562622070E1,-4.300756836E1,5.006412276E1
2.655121250E0,-2.866210938E-1,2.569262695E1,-4.293594360E1,5.003687125E1
2.665147250E0,3.220367432E-2,2.532916260E1,-4.297564697E1,4.988460432E1
2.675173250E0,-7.842254639E-2,2.533166504E1,-4.298016357E1,4.988981724E1
2.685198250E0,4.579925537E-2,2.547760010E1,-4.246664429E1,4.952298538E1
2.695224250E0,-2.082824707E-2,2.530285645E1,-4.290777588E1,4.981277154E1
2.705250250E0,-1.916275024E-1,2.552697754E1,-4.285757446E1,4.988421586E1
2.715275250E0,1.347198486E-1,2.540493774E1,-4.258917236E1,4.959099327E1
2.725301250E0,-1.943206787E-1,2.546337891E1,-4.279415894E1,4.979720338E1
2.735327250E0,-6.728363037E-2,2.569110107E1,-4.267434692E1,4.981101371E1
2.745352250E0,-2.288055420E-2,2.569323730E1,-4.287237549E1,4.998183217E1
2.755378250E0,-2.283172607E-1,2.554400635E1,-4.285476685E1,4.989067478E1
2.765404250E0,8.429718018E-2,2.554550171E1,-4.278317261E1,4.982950554E1
